playlist_url,playlist_name,user_name,track_counts,duration,like_counts,reposts_counts,date_release,tags,tracks_author_name
https://soundcloud.com/allindiaradionews/sets/international-news,International News,airnewsalerts,418,16:04,55,0,23-Jun-14,None,"None_Dhaka Court pronounces death sentence to eight HUJI activists in 2001 bombing case,None_FIFA WC:final round of group stage matches begin tonight,None_Bangladesh war crimes: Verdict on Jamaat chief deferred,None_Switzerland to relax rules to share tax evasion details,None_US rejects report that its drones carried out air strike on ISIL militants in Al-Qaim in Iraq.,None_UN Mission asks Iraqi authorities to probe cases of extra judicial killings, kidnappings,None_LeT behind attack on Indian Consulate in Afghanistan's Herat province last month, says US,None_Vice-President Hamid Ansari arrives in China,None_India decided to ease visa regime to Bangladeshi tourists,None_Nepal govt planned to develop Lumbini, the birth place of Lord Buddha as a world peace city.,None_Nepal: Seven political parties form alliance to work for identity-based federal system,None_Iraqi army launches counter offensive in Tikrit,None_Ukraine, Georgia and Moldova sign partnership agreements with the EU,None_Vice President Hamid Ansari to attend summit meeting with China and Myanmar,None_Vice President to attend summit meeting to commemorate 60th anniversary of Panchsheel"
https://soundcloud.com/allindiaradionews/sets/national-news,National News,airnewsalerts,494,16:06,73,7,19-Jun-14,None,"None_Making all efforts to rescue Indian nationals kidnapped in Iraq: Sushma Swaraj,None_A new crop insurance scheme on the anvil to help farmers,None_UNAMA offers to assist in resolving political impasse in presidential election,None_Health Minister launches immunisation drive to check Encephalitis,None_Beas Tragedy :3 more bodies recovered,None_First group of US military advisors expected to reach Iraq,None_Congress accuses MPgovt of shielding influential people involved in PEB recruitment scam.,None_Police in Naxal affected tribal regions in Bastar division come up with reward scheme,None_UP govt cancels CPMT exam after paper leak,None_Preity Zinta today arrived in Mumbai,None_Government convened meeting of Heads of Indian Missions in SAARC countries,None_FIFA WC: Portugal draws with US,None_Health Minister said, government will look into the functioning of MCI,None_Odisha: six Maoist surrender to join social mainstream.,None_Heads of Indian Missions in SAARC countries meet today"
https://soundcloud.com/allindiaradionews/sets/archives,Archives,airnewsalerts,8,2:52:39,67,5,14-Jun-14,Archive,"None_Pt. Jawaharlal Nehru's Tryst With Destiny Speech (English),None_Mahatma Gandhi's lone visit to AIR Delhi 12 -11-1947,None_Jawaharlal Nehru's Tryst With Destiny Speech (Hindi),None_From AIR Archives: Lord Mountbatten Address On 15 August 1947,None_PM's address to the nation on Independence Day.,None_Sardar Patel's message on Independence Day, August 16, 1948,None_Indira Gandhi's Independence Day (1966) speech,None_Dr. Sarvepalli Radhakrishnan at Platinum Jubilee Celebration on 31-08-1966"
https://soundcloud.com/askpat/sets/information-marketing,AskPat Information Marketing,Ask​Pat,0,0:00,50,5,12-Aug-15,None,None
https://soundcloud.com/askpat/sets/affiliate-marketing,AskPat Affiliate Marketing,Ask​Pat,0,0:00,57,6,12-Aug-15,None,None
https://soundcloud.com/askpat/sets/blogging-tips,AskPat Blogging Tips,Ask​Pat,0,0:00,39,0,12-Aug-15,None,None
https://soundcloud.com/askpat/sets/getting-started,AskPat Getting Started,Ask​Pat,0,0:00,32,3,12-Aug-15,None,None
https://soundcloud.com/askpat/sets/socia-media-tips,AskPat Social Media Tips,Ask​Pat,0,0:00,23,2,12-Aug-15,None,None
https://soundcloud.com/askpat/sets/email-marketing,AskPat Email Marketing,Ask​Pat,0,0:00,37,5,29-Jul-15,None,None
https://soundcloud.com/askpat/sets/podcasting-tracks,AskPat Podcasting Tracks,Ask​Pat,0,0:00,81,37,13-Jun-14,None,None
https://soundcloud.com/askpat/sets/askpat,"Ask Pat: Your Online Business, Blogging, Marketing and Lifestyle Design Questions Answered Daily!",Ask​Pat,0,0:00,400,88,24-Jan-14,Podcast,None
https://soundcloud.com/americarnage/sets/americarnage-1,Americarnage,Americarnage,0,0:00,24,6,15-Sep-14,None,None
https://soundcloud.com/americarnage/sets/americarnage-2,Americarnage #2,Americarnage,0,0:00,6,4,2-Jun-13,None,"None_Americarnage: Nat's Magical Non-Existent Burger Bar,None_Americarnage: The Beginning,None_Americarnage #100: A Century of Filth!,None_Americarnage #99: Best Predictions Ever,None_Americarnage #97: Some Idiot is Top 5!,None_Americarnage #95: And Then There Were Two,None_Americarnage: Angry Olympic Hangover"
https://soundcloud.com/americarnage/sets/americarnage,Americarnage,Americarnage,0,0:00,12,2,1-Jun-13,None,None
https://soundcloud.com/apmreports/sets/first-person-voices,First-person voices,APM Reports,0,0:00,5,3,11-May-16,News ; Politics,None
https://soundcloud.com/abc_rn/sets/the-weird-calls-of-six-cold-climate-frogs,The weird calls of six cold climate frogs,ABCRadio​National,6,4:45,8,3,28-Jul-17,None,"None_Heleioporus barycragus, the WA hooting frog,None_Heleioporus australiacus, the giant burrowing frog,None_Geocrinia victoriana, the Victorian smooth froglet,None_Litoria raniformis, the growling grass frog,None_Heleioporus eyrei, the WA moaning frog,None_Litoria citropa, the Blue Mountains tree frog"
https://soundcloud.com/abc_rn/sets/decoding-the-music-masterpieces-bachs-the-art-of-fugue,Decoding the music masterpieces: Bach’s The Art of Fugue,ABCRadio​National,5,0:53,14,3,27-Jun-17,None,"None_The Art of Fugue I. Contrapunctus 1,None_The Art of Fugue II. Contrapunctus 3,None_The Art of Fugue VI. Contrapunctus 5,None_The Art of Fugue XIV. Contrapunctus 11,None_The Art of Fugue XVI. Contrapunctus 12, Inversus"
https://soundcloud.com/abc_rn/sets/cosmic-vertigo,Cosmic Vertigo,ABCRadio​National,2,2:55,15,1,22-Mar-17,Science,"None_The scale of the solar system,None_What's a planet"
https://soundcloud.com/abc_rn/sets/homegrown,Homegrown — 25 Years of the Music Show,ABCRadio​National,0,0:00,3,0,31-Oct-16,The Music Show - 25 Years,None
