playlist_id,title,permalink,permalink_url,created_at,last_modified,description,track_count,tracks_id,duration,embeddable_by,genre,likes_count,user_id,license,reposts_count,sharing,tag_list,label_name,managed_by_feeds,public,purchase_title,purchase_url,release_date,secret_token,set_type,uri,artwork_url,is_album,published_at,display_date
782449002,majornine,majornine,https://soundcloud.com/hokyqum5/sets/majornine,2019-05-18T15:00:28Z,2019-05-18T15:00:28Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782449002,,FALSE,2019-05-18T15:00:28Z,2019-05-18T15:00:28Z
782448537,bones,bones,https://soundcloud.com/hokyqum5/sets/bones,2019-05-18T14:59:49Z,2019-05-18T14:59:49Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782448537,,FALSE,2019-05-18T14:59:49Z,2019-05-18T14:59:49Z
782448132,michael jackson,michael-jackson-1,https://soundcloud.com/hokyqum5/sets/michael-jackson-1,2019-05-18T14:59:19Z,2019-05-18T14:59:19Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782448132,,FALSE,2019-05-18T14:59:19Z,2019-05-18T14:59:19Z
782447208,lil xan,lil-xan,https://soundcloud.com/hokyqum5/sets/lil-xan,2019-05-18T14:58:08Z,2019-05-18T14:58:08Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782447208,,FALSE,2019-05-18T14:58:08Z,2019-05-18T14:58:08Z
782445261,aventura,aventura,https://soundcloud.com/hokyqum5/sets/aventura,2019-05-18T14:55:39Z,2019-05-18T14:55:39Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782445261,,FALSE,2019-05-18T14:55:39Z,2019-05-18T14:55:39Z
782444562,lil-nas-x-old-town-road-feat-billy-ray-cyrus-remix,lil-nas-x-old-town-road-feat,https://soundcloud.com/hokyqum5/sets/lil-nas-x-old-town-road-feat,2019-05-18T14:54:42Z,2019-05-18T14:54:42Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782444562,,FALSE,2019-05-18T14:54:42Z,2019-05-18T14:54:42Z
782444007,gherbo,gherbo-1,https://soundcloud.com/hokyqum5/sets/gherbo-1,2019-05-18T14:53:55Z,2019-05-18T14:53:55Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782444007,,FALSE,2019-05-18T14:53:55Z,2019-05-18T14:53:55Z
782442756,yfn lucci,yfn-lucci,https://soundcloud.com/hokyqum5/sets/yfn-lucci,2019-05-18T14:52:11Z,2019-05-18T14:52:11Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782442756,,FALSE,2019-05-18T14:52:11Z,2019-05-18T14:52:11Z
782441817,trey songz,trey-songz-1,https://soundcloud.com/hokyqum5/sets/trey-songz-1,2019-05-18T14:50:59Z,2019-05-18T14:50:59Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782441817,,FALSE,2019-05-18T14:50:59Z,2019-05-18T14:50:59Z
782440509,no lie playboi carti,no-lie-playboi-carti,https://soundcloud.com/hokyqum5/sets/no-lie-playboi-carti,2019-05-18T14:49:17Z,2019-05-18T14:49:17Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782440509,,FALSE,2019-05-18T14:49:17Z,2019-05-18T14:49:17Z
782439624,sweet but psycho,sweet-but-psycho-1,https://soundcloud.com/hokyqum5/sets/sweet-but-psycho-1,2019-05-18T14:48:07Z,2019-05-18T14:48:07Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782439624,,FALSE,2019-05-18T14:48:07Z,2019-05-18T14:48:07Z
782437668,young ma,young-ma-1,https://soundcloud.com/hokyqum5/sets/young-ma-1,2019-05-18T14:45:45Z,2019-05-18T14:45:45Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782437668,,FALSE,2019-05-18T14:45:45Z,2019-05-18T14:45:45Z
782437029,double up nipsey hussle,double-up-nipsey-hussle-1,https://soundcloud.com/hokyqum5/sets/double-up-nipsey-hussle-1,2019-05-18T14:44:55Z,2019-05-18T14:44:55Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782437029,,FALSE,2019-05-18T14:44:55Z,2019-05-18T14:44:55Z
782435358,sanguine paradise lil uzi,sanguine-paradise-lil-uzi,https://soundcloud.com/hokyqum5/sets/sanguine-paradise-lil-uzi,2019-05-18T14:42:58Z,2019-05-18T14:42:58Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782435358,,FALSE,2019-05-18T14:42:58Z,2019-05-18T14:42:58Z
782434539,kehlani,kehlani-2,https://soundcloud.com/hokyqum5/sets/kehlani-2,2019-05-18T14:41:49Z,2019-05-18T14:41:49Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/782434539,,FALSE,2019-05-18T14:41:49Z,2019-05-18T14:41:49Z
